order_id,order_date,product_id,product_name,variant,category,supplier,sales_channel,region,payment_method,quantity,unit_price,discount_pct,gross_sales,net_sales,cost,profit,month,week,margin_pct
ORD-500001,2025-02-26,SKU-1007,Power Bank,Standard,Electronics,Nova Supply Co.,Marketplace,Bandung,E-Wallet,1,127.25,0.0,127.25,127.25,81.84,45.41,2025-02,2025-02-24/2025-03-02,0.35685658153241645
ORD-500002,2025-04-14,SKU-1002,Bluetooth Speaker,Premium,Electronics,Nova Supply Co.,Online,Jakarta,Cash,1,110.05,0.1,110.05,99.04,87.34,11.7,2025-04,2025-04-14/2025-04-20,0.11813408723747978
ORD-500003,2025-10-21,SKU-1030,Storage Box,Pro,Home & Kitchen,Urban Source Ltd.,Marketplace,Medan,Card,2,61.88,0.15,123.76,105.2,95.9,9.3,2025-10,2025-10-20/2025-10-26,0.08840304182509506
ORD-500004,2025-05-24,SKU-1010,USB-C Hub,Standard,Electronics,Peak Imports,Marketplace,Jakarta,E-Wallet,1,23.78,0.0,23.78,23.78,18.47,5.31,2025-05,2025-05-19/2025-05-25,0.22329688814129517
ORD-500005,2025-08-23,SKU-1002,Bluetooth Speaker,Premium,Electronics,Nova Supply Co.,Wholesale,Medan,E-Wallet,1,110.05,0.05,110.05,104.55,87.34,17.21,2025-08,2025-08-18/2025-08-24,0.1646102343376375
ORD-500006,2025-07-28,SKU-1056,Resistance Bands,Pro,Sports,Nova Supply Co.,Marketplace,Yogyakarta,Bank Transfer,1,37.19,0.15,37.19,31.61,21.86,9.75,2025-07,2025-07-28/2025-08-03,0.3084466940841506
ORD-500007,2025-09-09,SKU-1059,Water Bottle,Pro,Sports,Brightline Wholesale,Online,Jakarta,Card,4,21.51,0.1,86.04,77.44,69.48,7.96,2025-09,2025-09-08/2025-09-14,0.10278925619834711
ORD-500008,2025-02-06,SKU-1038,Desk Organizer,Premium,Office,Urban Source Ltd.,Online,Jakarta,Cash,2,47.71,0.0,95.42,95.42,70.06,25.36,2025-02,2025-02-03/2025-02-09,0.26577237476420035
ORD-500009,2025-10-29,SKU-1057,Water Bottle,Standard,Sports,Nova Supply Co.,Retail Store,Bandung,E-Wallet,1,33.1,0.0,33.1,33.1,18.31,14.79,2025-10,2025-10-27/2025-11-02,0.4468277945619335
ORD-500010,2025-07-15,SKU-1014,Mechanical Keyboard,Premium,Electronics,Nova Supply Co.,Online,Yogyakarta,E-Wallet,1,106.42,0.05,106.42,101.1,74.24,26.86,2025-07,2025-07-14/2025-07-20,0.26567754698318496
ORD-500011,2025-03-02,SKU-1022,Blender,Standard,Home & Kitchen,Peak Imports,Online,Jakarta,E-Wallet,1,94.62,0.0,94.62,94.62,60.77,33.85,2025-03,2025-02-24/2025-03-02,0.3577467765800042
ORD-500012,2025-06-02,SKU-1042,Face Cleanser,Premium,Beauty,Peak Imports,Online,Medan,Bank Transfer,1,31.12,0.15,31.12,26.45,25.16,1.29,2025-06,2025-06-02/2025-06-08,0.048771266540642726
ORD-500013,2025-09-02,SKU-1019,Electric Kettle,Standard,Home & Kitchen,Nova Supply Co.,Online,Jakarta,Cash,1,88.16,0.15,88.16,74.94,53.02,21.92,2025-09,2025-09-01/2025-09-07,0.29250066720042706
ORD-500014,2025-12-01,SKU-1055,Resistance Bands,Premium,Sports,Aster Distribution,Marketplace,Jakarta,Card,1,26.5,0.0,26.5,26.5,21.45,5.05,2025-12,2025-12-01/2025-12-07,0.19056603773584904
ORD-500015,2025-03-06,SKU-1042,Face Cleanser,Premium,Beauty,Peak Imports,Online,Medan,Bank Transfer,2,31.12,0.0,62.24,62.24,50.32,11.92,2025-03,2025-03-03/2025-03-09,0.19151670951156813
ORD-500016,2025-09-26,SKU-1005,Wireless Earbuds,Premium,Electronics,Aster Distribution,Online,Jakarta,E-Wallet,2,102.99,0.0,205.98,205.98,121.46,84.52,2025-09,2025-09-22/2025-09-28,0.4103311001068065
ORD-500017,2025-07-10,SKU-1062,Running Belt,Pro,Sports,Nova Supply Co.,Wholesale,Surabaya,Cash,2,33.01,0.05,66.02,62.72,39.86,22.86,2025-07,2025-07-07/2025-07-13,0.36447704081632654
ORD-500018,2025-12-08,SKU-1053,Yoga Mat,Pro,Sports,Brightline Wholesale,Retail Store,Jakarta,Bank Transfer,4,30.37,0.05,121.48,115.41,77.2,38.21,2025-12,2025-12-08/2025-12-14,0.331080495624296
ORD-500019,2025-01-19,SKU-1010,USB-C Hub,Standard,Electronics,Peak Imports,Marketplace,Surabaya,Card,1,23.78,0.05,23.78,22.59,18.47,4.12,2025-01,2025-01-13/2025-01-19,0.18238158477202301
ORD-500020,2025-02-04,SKU-1032,Notebook,Premium,Office,Brightline Wholesale,Marketplace,Jakarta,E-Wallet,2,86.3,0.1,172.6,155.34,126.96,28.38,2025-02,2025-02-03/2025-02-09,0.18269602162997295
ORD-500021,2025-07-08,SKU-1061,Running Belt,Premium,Sports,Aster Distribution,Online,Yogyakarta,Bank Transfer,1,76.7,0.0,76.7,76.7,43.71,32.99,2025-07,2025-07-07/2025-07-13,0.4301173402868318
ORD-500022,2025-06-29,SKU-1040,Office Chair,Premium,Office,Brightline Wholesale,Online,Surabaya,Card,1,159.4,0.1,159.4,143.46,111.42,32.04,2025-06,2025-06-23/2025-06-29,0.2233375156838143
ORD-500023,2025-03-18,SKU-1058,Water Bottle,Premium,Sports,Aster Distribution,Retail Store,Yogyakarta,Card,2,48.14,0.0,96.28,96.28,72.04,24.24,2025-03,2025-03-17/2025-03-23,0.25176568342334854
ORD-500024,2025-09-02,SKU-1019,Electric Kettle,Standard,Home & Kitchen,Nova Supply Co.,Marketplace,Medan,Card,1,88.16,0.0,88.16,88.16,53.02,35.14,2025-09,2025-09-01/2025-09-07,0.3985934664246824
ORD-500025,2025-02-01,SKU-1024,Blender,Pro,Home & Kitchen,Aster Distribution,Retail Store,Surabaya,Bank Transfer,2,59.17,0.05,118.34,112.42,89.92,22.5,2025-02,2025-01-27/2025-02-02,0.20014232342999466
ORD-500026,2025-12-08,SKU-1053,Yoga Mat,Pro,Sports,Brightline Wholesale,Marketplace,Jakarta,E-Wallet,1,30.37,0.2,30.37,24.3,19.3,5.0,2025-12,2025-12-08/2025-12-14,0.205761316872428
ORD-500027,2025-01-02,SKU-1007,Power Bank,Standard,Electronics,Nova Supply Co.,Online,Yogyakarta,Bank Transfer,2,127.25,0.05,254.5,241.77,163.68,78.09,2025-01,2024-12-30/2025-01-05,0.3229929271621789
ORD-500028,2025-09-19,SKU-1035,Monitor Stand,Standard,Office,Brightline Wholesale,Retail Store,Bandung,Card,2,61.43,0.0,122.86,122.86,67.4,55.46,2025-09,2025-09-15/2025-09-21,0.45140810678821425
ORD-500029,2025-02-04,SKU-1017,Air Fryer,Premium,Home & Kitchen,Peak Imports,Retail Store,Yogyakarta,Card,1,85.71,0.05,85.71,81.42,66.93,14.49,2025-02,2025-02-03/2025-02-09,0.17796610169491525
ORD-500030,2025-06-15,SKU-1060,Running Belt,Standard,Sports,Nova Supply Co.,Marketplace,Jakarta,Bank Transfer,2,84.42,0.0,168.84,168.84,96.3,72.54,2025-06,2025-06-09/2025-06-15,0.42963752665245203
ORD-500031,2025-05-23,SKU-1015,Mechanical Keyboard,Pro,Electronics,Aster Distribution,Retail Store,Jakarta,E-Wallet,2,110.43,0.0,220.86,220.86,161.78,59.08,2025-05,2025-05-19/2025-05-25,0.26749977361224303
ORD-500032,2025-12-30,SKU-1041,Face Cleanser,Standard,Beauty,Brightline Wholesale,Marketplace,Jakarta,Bank Transfer,2,40.88,0.15,81.76,69.5,52.16,17.34,2025-12,2025-12-29/2026-01-04,0.24949640287769784
ORD-500033,2025-11-12,SKU-1008,Power Bank,Premium,Electronics,Peak Imports,Online,Jakarta,E-Wallet,3,64.8,0.15,194.4,165.24,106.56,58.68,2025-11,2025-11-10/2025-11-16,0.355119825708061
ORD-500034,2025-01-11,SKU-1002,Bluetooth Speaker,Premium,Electronics,Nova Supply Co.,Marketplace,Jakarta,Card,1,110.05,0.0,110.05,110.05,87.34,22.71,2025-01,2025-01-06/2025-01-12,0.20636074511585645
ORD-500035,2025-10-27,SKU-1012,USB-C Hub,Pro,Electronics,Nova Supply Co.,Wholesale,Semarang,E-Wallet,2,66.9,0.0,133.8,133.8,92.12,41.68,2025-10,2025-10-27/2025-11-02,0.3115097159940209
ORD-500036,2025-08-10,SKU-1061,Running Belt,Premium,Sports,Aster Distribution,Marketplace,Jakarta,Card,2,76.7,0.1,153.4,138.06,87.42,50.64,2025-08,2025-08-04/2025-08-10,0.36679704476314645
ORD-500037,2025-10-27,SKU-1010,USB-C Hub,Standard,Electronics,Peak Imports,Online,Medan,Card,1,23.78,0.05,23.78,22.59,18.47,4.12,2025-10,2025-10-27/2025-11-02,0.18238158477202301
ORD-500038,2025-11-02,SKU-1036,Monitor Stand,Premium,Office,Nova Supply Co.,Online,Jakarta,E-Wallet,3,158.85,0.1,476.55,428.9,330.81,98.09,2025-11,2025-10-27/2025-11-02,0.2287013289811145
ORD-500039,2025-01-20,SKU-1044,Sunscreen,Premium,Beauty,Nova Supply Co.,Online,Yogyakarta,Bank Transfer,4,41.08,0.05,164.32,156.1,126.88,29.22,2025-01,2025-01-20/2025-01-26,0.1871877001921845
ORD-500040,2025-03-12,SKU-1036,Monitor Stand,Premium,Office,Nova Supply Co.,Online,Jakarta,E-Wallet,1,158.85,0.15,158.85,135.02,110.27,24.75,2025-03,2025-03-10/2025-03-16,0.183306176862687
ORD-500041,2025-06-17,SKU-1005,Wireless Earbuds,Premium,Electronics,Aster Distribution,Online,Jakarta,Cash,1,102.99,0.2,102.99,82.39,60.73,21.66,2025-06,2025-06-16/2025-06-22,0.26289598252215074
ORD-500042,2025-09-16,SKU-1053,Yoga Mat,Pro,Sports,Brightline Wholesale,Marketplace,Surabaya,Bank Transfer,1,30.37,0.05,30.37,28.85,19.3,9.55,2025-09,2025-09-15/2025-09-21,0.3310225303292894
ORD-500043,2025-06-12,SKU-1018,Air Fryer,Pro,Home & Kitchen,Peak Imports,Retail Store,Jakarta,Card,1,12.8,0.1,12.8,11.52,7.68,3.84,2025-06,2025-06-09/2025-06-15,0.3333333333333333
ORD-500044,2025-02-22,SKU-1061,Running Belt,Premium,Sports,Aster Distribution,Online,Surabaya,E-Wallet,1,76.7,0.05,76.7,72.86,43.71,29.15,2025-02,2025-02-17/2025-02-23,0.400082349711776
ORD-500045,2025-09-10,SKU-1007,Power Bank,Standard,Electronics,Nova Supply Co.,Marketplace,Semarang,Cash,1,127.25,0.0,127.25,127.25,81.84,45.41,2025-09,2025-09-08/2025-09-14,0.35685658153241645
ORD-500046,2025-05-28,SKU-1026,Desk Lamp,Premium,Home & Kitchen,Peak Imports,Online,Bandung,E-Wallet,1,42.39,0.05,42.39,40.27,31.28,8.99,2025-05,2025-05-26/2025-06-01,0.22324310901415445
ORD-500047,2025-12-21,SKU-1011,USB-C Hub,Premium,Electronics,Urban Source Ltd.,Retail Store,Jakarta,Card,1,116.31,0.0,116.31,116.31,63.87,52.44,2025-12,2025-12-15/2025-12-21,0.4508640701573381
ORD-500048,2025-05-31,SKU-1028,Storage Box,Standard,Home & Kitchen,Nova Supply Co.,Online,Surabaya,Card,1,55.89,0.05,55.89,53.1,33.09,20.01,2025-05,2025-05-26/2025-06-01,0.37683615819209043
ORD-500049,2025-05-09,SKU-1038,Desk Organizer,Premium,Office,Urban Source Ltd.,Online,Yogyakarta,E-Wallet,1,47.71,0.0,47.71,47.71,35.03,12.68,2025-05,2025-05-05/2025-05-11,0.26577237476420035
ORD-500050,2025-07-26,SKU-1034,Gel Pen Set,Premium,Office,Aster Distribution,Retail Store,Medan,Card,1,211.77,0.05,211.77,201.18,119.78,81.4,2025-07,2025-07-21/2025-07-27,0.40461278457103095
ORD-500051,2025-07-12,SKU-1048,Hair Dryer,Premium,Beauty,Urban Source Ltd.,Wholesale,Yogyakarta,Cash,2,35.46,0.15,70.92,60.28,39.54,20.74,2025-07,2025-07-07/2025-07-13,0.3440610484406105
ORD-500052,2025-05-12,SKU-1031,Notebook,Standard,Office,Brightline Wholesale,Retail Store,Yogyakarta,Card,2,36.9,0.0,73.8,73.8,46.12,27.68,2025-05,2025-05-12/2025-05-18,0.3750677506775068
ORD-500053,2025-07-09,SKU-1007,Power Bank,Standard,Electronics,Nova Supply Co.,Marketplace,Jakarta,E-Wallet,1,127.25,0.15,127.25,108.16,81.84,26.32,2025-07,2025-07-07/2025-07-13,0.2433431952662722
ORD-500054,2025-11-02,SKU-1015,Mechanical Keyboard,Pro,Electronics,Aster Distribution,Online,Bandung,Cash,2,110.43,0.0,220.86,220.86,161.78,59.08,2025-11,2025-10-27/2025-11-02,0.26749977361224303
ORD-500055,2025-01-25,SKU-1056,Resistance Bands,Pro,Sports,Nova Supply Co.,Online,Makassar,E-Wallet,2,37.19,0.0,74.38,74.38,43.72,30.66,2025-01,2025-01-20/2025-01-26,0.4122075826835171
ORD-500056,2025-09-29,SKU-1036,Monitor Stand,Premium,Office,Nova Supply Co.,Online,Yogyakarta,Cash,1,158.85,0.0,158.85,158.85,110.27,48.58,2025-09,2025-09-29/2025-10-05,0.3058231035568146
