snapshot_date,product_id,product_name,category,supplier,opening_stock,receipts,units_sold,shrinkage,closing_stock,reorder_point,days_of_cover,stock_status
2025-01-31,SKU-1001,Bluetooth Speaker,Electronics,Nova Supply Co.,61,15,2,1,73,21,730.0,Healthy
2025-01-31,SKU-1002,Bluetooth Speaker,Electronics,Nova Supply Co.,55,19,14,0,60,24,128.6,Healthy
2025-01-31,SKU-1003,Bluetooth Speaker,Electronics,Brightline Wholesale,56,16,1,1,70,23,700.0,Healthy
2025-01-31,SKU-1004,Wireless Earbuds,Electronics,Aster Distribution,46,16,6,0,56,16,280.0,Healthy
2025-01-31,SKU-1005,Wireless Earbuds,Electronics,Aster Distribution,47,30,13,1,63,24,145.4,Healthy
2025-01-31,SKU-1006,Wireless Earbuds,Electronics,Aster Distribution,139,19,2,0,156,32,1560.0,Overstock
2025-01-31,SKU-1007,Power Bank,Electronics,Nova Supply Co.,18,40,11,0,47,15,128.2,Healthy
2025-01-31,SKU-1008,Power Bank,Electronics,Peak Imports,85,3,6,1,81,22,405.0,Healthy
2025-01-31,SKU-1009,Power Bank,Electronics,Nova Supply Co.,89,7,6,0,2,20,10.0,Low Stock
2025-01-31,SKU-1010,USB-C Hub,Electronics,Peak Imports,111,15,12,0,114,29,285.0,Healthy
2025-01-31,SKU-1011,USB-C Hub,Electronics,Urban Source Ltd.,37,7,8,1,35,21,131.2,Healthy
2025-01-31,SKU-1012,USB-C Hub,Electronics,Nova Supply Co.,88,24,14,0,133,30,285.0,Overstock
2025-01-31,SKU-1013,Mechanical Keyboard,Electronics,Nova Supply Co.,30,1,0,0,70,19,700.0,Healthy
2025-01-31,SKU-1014,Mechanical Keyboard,Electronics,Nova Supply Co.,55,26,5,1,75,15,450.0,Overstock
2025-01-31,SKU-1015,Mechanical Keyboard,Electronics,Aster Distribution,131,16,6,3,138,29,690.0,Overstock
2025-01-31,SKU-1016,Air Fryer,Home & Kitchen,Aster Distribution,156,7,2,4,157,32,1570.0,Overstock
2025-01-31,SKU-1017,Air Fryer,Home & Kitchen,Peak Imports,132,3,1,3,131,31,1310.0,Overstock
2025-01-31,SKU-1018,Air Fryer,Home & Kitchen,Peak Imports,47,27,5,1,68,29,408.0,Healthy
2025-01-31,SKU-1019,Electric Kettle,Home & Kitchen,Nova Supply Co.,32,24,8,1,47,24,176.2,Healthy
2025-01-31,SKU-1020,Electric Kettle,Home & Kitchen,Peak Imports,29,2,0,0,31,17,310.0,Healthy
2025-01-31,SKU-1021,Electric Kettle,Home & Kitchen,Aster Distribution,152,23,7,3,165,31,707.1,Overstock
2025-01-31,SKU-1022,Blender,Home & Kitchen,Peak Imports,49,1,2,0,48,25,480.0,Healthy
2025-01-31,SKU-1023,Blender,Home & Kitchen,Urban Source Ltd.,108,17,1,1,123,25,1230.0,Overstock
2025-01-31,SKU-1024,Blender,Home & Kitchen,Aster Distribution,80,25,6,0,93,18,465.0,Overstock
2025-01-31,SKU-1025,Desk Lamp,Home & Kitchen,Urban Source Ltd.,124,25,14,0,135,30,289.3,Overstock
2025-01-31,SKU-1026,Desk Lamp,Home & Kitchen,Peak Imports,60,17,12,0,65,21,162.5,Healthy
2025-01-31,SKU-1027,Desk Lamp,Home & Kitchen,Brightline Wholesale,169,4,0,0,173,34,1730.0,Overstock
2025-01-31,SKU-1028,Storage Box,Home & Kitchen,Nova Supply Co.,51,30,8,1,1,19,3.8,Low Stock
2025-01-31,SKU-1029,Storage Box,Home & Kitchen,Aster Distribution,94,22,2,0,114,29,1140.0,Healthy
