product_id,product_name,variant,category,supplier,unit_price,unit_cost,reorder_point,lead_time_days,target_stock_days
SKU-1001,Bluetooth Speaker,Standard,Electronics,Nova Supply Co.,120.16,83.77,21,10,21
SKU-1002,Bluetooth Speaker,Premium,Electronics,Nova Supply Co.,110.05,87.34,24,11,21
SKU-1003,Bluetooth Speaker,Pro,Electronics,Brightline Wholesale,118.47,71.07,23,4,21
SKU-1004,Wireless Earbuds,Standard,Electronics,Aster Distribution,77.45,55.47,16,11,21
SKU-1005,Wireless Earbuds,Premium,Electronics,Aster Distribution,102.99,60.73,24,6,21
SKU-1006,Wireless Earbuds,Pro,Electronics,Aster Distribution,48.0,31.91,32,3,21
SKU-1007,Power Bank,Standard,Electronics,Nova Supply Co.,127.25,81.84,15,9,21
SKU-1008,Power Bank,Premium,Electronics,Peak Imports,64.8,35.52,22,11,21
SKU-1009,Power Bank,Pro,Electronics,Nova Supply Co.,120.75,92.43,20,7,21
SKU-1010,USB-C Hub,Standard,Electronics,Peak Imports,23.78,18.47,29,9,21
SKU-1011,USB-C Hub,Premium,Electronics,Urban Source Ltd.,116.31,63.87,21,5,21
SKU-1012,USB-C Hub,Pro,Electronics,Nova Supply Co.,66.9,46.06,30,4,21
SKU-1013,Mechanical Keyboard,Standard,Electronics,Nova Supply Co.,35.15,24.14,19,5,21
SKU-1014,Mechanical Keyboard,Premium,Electronics,Nova Supply Co.,106.42,74.24,15,10,21
SKU-1015,Mechanical Keyboard,Pro,Electronics,Aster Distribution,110.43,80.89,29,10,21
SKU-1016,Air Fryer,Standard,Home & Kitchen,Aster Distribution,98.91,70.38,32,5,24
SKU-1017,Air Fryer,Premium,Home & Kitchen,Peak Imports,85.71,66.93,31,4,24
SKU-1018,Air Fryer,Pro,Home & Kitchen,Peak Imports,12.8,7.68,29,8,24
SKU-1019,Electric Kettle,Standard,Home & Kitchen,Nova Supply Co.,88.16,53.02,24,7,24
SKU-1020,Electric Kettle,Premium,Home & Kitchen,Peak Imports,73.42,57.33,17,4,24
SKU-1021,Electric Kettle,Pro,Home & Kitchen,Aster Distribution,84.19,57.93,31,8,24
SKU-1022,Blender,Standard,Home & Kitchen,Peak Imports,94.62,60.77,25,7,24
SKU-1023,Blender,Premium,Home & Kitchen,Urban Source Ltd.,72.39,53.2,25,3,24
SKU-1024,Blender,Pro,Home & Kitchen,Aster Distribution,59.17,44.96,18,6,24
SKU-1025,Desk Lamp,Standard,Home & Kitchen,Urban Source Ltd.,104.17,78.6,30,3,24
SKU-1026,Desk Lamp,Premium,Home & Kitchen,Peak Imports,42.39,31.28,21,8,24
SKU-1027,Desk Lamp,Pro,Home & Kitchen,Brightline Wholesale,72.16,43.33,34,8,24
SKU-1028,Storage Box,Standard,Home & Kitchen,Nova Supply Co.,55.89,33.09,19,4,24
